DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,1995,681.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,1996,805.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,1997,639.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,1998,721.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,1999,990.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2000,1412.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2001,1733.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2002,1823.4,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2003,1967.2,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2004,2199.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2005,2354.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2006,2532.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2007,2650.2,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2008,2767.2,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2009,2794.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2010,2557.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2011,2709.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2012,2496.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2013,2447.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2014,2336.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2015,2417.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2016,2476.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2017,2626.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2018,2687.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2019,2591.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2020,2562.2,p
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AL,2021,3072.8,e
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,1995,55878.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,1996,58323.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,1997,58755.4,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,1998,60770.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,1999,61515.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2000,65101.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2001,64378.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2002,62533.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2003,64936.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2004,65546.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2005,65712.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2006,66468.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2007,69555.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2008,70673.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2009,65600.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2010,63904.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2011,68153.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2012,68770.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2013,69846.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2014,69565.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2015,71166.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2016,74230.4,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2017,77375.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2018,80781.4,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2019,84654.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2020,80257.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,AT,2021,83671.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2000,1878.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2001,1868.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2002,2034.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2003,2082.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2004,2175.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2005,2629.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2006,2373.9,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2007,3134.4,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2008,3661.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2009,3042.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2010,2692.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2011,2839.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2012,2863.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2013,2826.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2014,3165.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2015,3086.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2016,3254.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2017,3510.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2018,3793.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2019,4015.4,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2020,3851.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BA,2021,4296.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,1995,57426.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,1996,57744.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,1997,61612.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,1998,62999.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,1999,65579.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2000,68838.6,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2001,69958.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2002,67068.5,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2003,66980.0,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2004,73028.1,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2005,77218.3,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2006,78689.7,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2007,84419.8,
ESTAT:NAMA_10_GDP(1.0),25/07/22 23:00:00,A,CLV10_MEUR,P51G,BE,2008,86029.6,
