DATAFLOW,LAST UPDATE,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,1981,51.5,d
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,1984,73.2,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,1985,79.5,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,1989,121.6,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,1993,165,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,1998,269.2,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2002,388.3,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2004,436.8,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2005,513,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2006,539,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2007,585,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2008,629.8,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2009,611,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2010,661,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2011,679.7,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2012,777.9,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2013,802,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2014,860.9,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2015,873.4,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2016,899.3,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2017,899.2,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2018,943.4,e
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2019,987.6,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,AT,2020,945.8,p
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BA,2012,5.4,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1981,92.1,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1982,96,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1983,105.2,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1984,115.2,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1985,128.9,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1986,140.4,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1987,150.6,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1988,156.5,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1989,159.3,
ESTAT:RD_E_GERDTOT(1.0),15/03/22 11:00:00,A,BES,EUR_HAB,BE,1991,176.7,e
